Airline,Source,Destination,Total_Stops,Price,Dep_Weekday,Dep_Interval,Arrival_Interval,Duration(mins)
IndiGo,Banglore,New Delhi,0,3897,Sunday,Midnight,Midnight,170
Air India,Kolkata,Banglore,2,7662,Wednesday,Before Dawn,Noon,445
Jet Airways,Delhi,Cochin,2,13882,Sunday,Morning,Before Dawn,1140
IndiGo,Kolkata,Banglore,1,6218,Sunday,Evening,Midnight,325
IndiGo,Banglore,New Delhi,1,13302,Friday,Afternoon,Evening,285
SpiceJet,Kolkata,Banglore,0,3873,Monday,Morning,Noon,145
Jet Airways,Banglore,New Delhi,1,11087,Tuesday,Evening,Noon,930
Jet Airways,Banglore,New Delhi,1,22270,Friday,Morning,Before Dawn,1265
Jet Airways,Banglore,New Delhi,1,11087,Tuesday,Morning,Noon,1530
Multiple carriers,Delhi,Cochin,1,8625,Monday,Noon,Evening,470
Air India,Delhi,Cochin,1,8907,Saturday,Morning,Midnight,795
IndiGo,Kolkata,Banglore,0,4174,Thursday,Evening,Midnight,155
Air India,Chennai,Kolkata,0,4667,Monday,Noon,Noon,135
Jet Airways,Kolkata,Banglore,1,9663,Thursday,Evening,Morning,730
IndiGo,Kolkata,Banglore,0,4804,Wednesday,Afternoon,Evening,155
Air India,Delhi,Cochin,2,14011,Sunday,Afternoon,Evening,1595
SpiceJet,Delhi,Cochin,1,5830,Monday,Morning,Noon,270
Jet Airways,Delhi,Cochin,1,10262,Wednesday,Afternoon,Noon,1355
Air India,Delhi,Cochin,2,13381,Wednesday,Evening,Evening,1380
Jet Airways,Delhi,Cochin,1,12898,Monday,Afternoon,Noon,1235
GoAir,Delhi,Cochin,1,19495,Wednesday,Afternoon,Evening,310
Air India,Banglore,New Delhi,1,6955,Thursday,Evening,Noon,920
IndiGo,Banglore,Delhi,0,3943,Wednesday,Before Dawn,Morning,170
IndiGo,Banglore,Delhi,0,4823,Wednesday,Evening,Evening,175
Jet Airways,Kolkata,Banglore,1,7757,Monday,Evening,Morning,800
Jet Airways,Delhi,Cochin,2,13292,Sunday,Evening,Noon,910
IndiGo,Delhi,Cochin,1,8238,Saturday,Evening,Before Dawn,345
GoAir,Delhi,Cochin,1,7682,Wednesday,Morning,Noon,355
Vistara,Banglore,Delhi,0,4668,Tuesday,Morning,Noon,170
Vistara,Chennai,Kolkata,0,3687,Saturday,Morning,Morning,135
Vistara,Chennai,Kolkata,0,3687,Tuesday,Morning,Morning,135
Air India,Kolkata,Banglore,2,13227,Wednesday,Morning,Midnight,805
IndiGo,Banglore,Delhi,0,4423,Saturday,Before Dawn,Morning,170
Jet Airways,Delhi,Cochin,2,10919,Saturday,Afternoon,Noon,1320
Jet Airways,Delhi,Cochin,1,12373,Saturday,Morning,Noon,330
IndiGo,Delhi,Cochin,1,5894,Thursday,Noon,Evening,625
SpiceJet,Kolkata,Banglore,1,4649,Tuesday,Afternoon,Evening,315
Air India,Kolkata,Banglore,0,6245,Saturday,Afternoon,Afternoon,150
Jet Airways,Banglore,New Delhi,1,19225,Wednesday,Morning,Noon,375
Jet Airways,Delhi,Cochin,1,14924,Monday,Morning,Evening,715
Multiple carriers,Delhi,Cochin,1,9646,Tuesday,Morning,Evening,665
Air India,Banglore,New Delhi,1,8714,Friday,Morning,Afternoon,510
Jet Airways,Delhi,Cochin,1,12373,Saturday,Evening,Evening,1325
Air Asia,Banglore,Delhi,0,3383,Monday,Noon,Noon,165
Multiple carriers,Delhi,Cochin,1,13062,Thursday,Morning,Evening,720
SpiceJet,Banglore,New Delhi,0,3527,Sunday,Before Dawn,Morning,170
IndiGo,Banglore,Delhi,0,3943,Monday,Before Dawn,Morning,170
Air India,Chennai,Kolkata,0,4667,Friday,Noon,Noon,135
Air India,Kolkata,Banglore,1,6117,Wednesday,Evening,Noon,965
Jet Airways,Delhi,Cochin,2,11150,Thursday,Midnight,Evening,1195
Jet Airways,Delhi,Cochin,0,7202,Saturday,Noon,Afternoon,195
Jet Airways,Kolkata,Banglore,1,12121,Wednesday,Morning,Noon,1520
IndiGo,Banglore,New Delhi,0,4377,Sunday,Midnight,Midnight,170
IndiGo,Banglore,Delhi,0,3943,Tuesday,Evening,Midnight,180
Air Asia,Banglore,Delhi,0,4483,Wednesday,Midnight,Before Dawn,170
Jet Airways,Kolkata,Banglore,1,14231,Sunday,Evening,Noon,975
Air India,Banglore,New Delhi,2,17345,Friday,Morning,Midnight,905
Vistara,Chennai,Kolkata,0,7414,Wednesday,Morning,Morning,135
Multiple carriers,Delhi,Cochin,1,8073,Monday,Evening,Midnight,390
Vistara,Mumbai,Hyderabad,1,12395,Wednesday,Afternoon,Afternoon,1505
Air India,Kolkata,Banglore,1,8366,Thursday,Morning,Evening,745
Air India,Delhi,Cochin,1,5117,Wednesday,Morning,Morning,1640
Multiple carriers,Delhi,Cochin,1,12524,Monday,Morning,Evening,615
IndiGo,Delhi,Cochin,1,7191,Wednesday,Afternoon,Midnight,630
Vistara,Chennai,Kolkata,0,3687,Friday,Morning,Morning,135
IndiGo,Delhi,Cochin,1,5894,Monday,Noon,Evening,625
Vistara,Banglore,Delhi,0,5403,Wednesday,Morning,Noon,170
Air India,Mumbai,Hyderabad,0,3625,Monday,Noon,Afternoon,90
Air India,Delhi,Cochin,2,10861,Tuesday,Before Dawn,Evening,800
IndiGo,Chennai,Kolkata,0,6297,Tuesday,Noon,Afternoon,135
Jet Airways,Mumbai,Hyderabad,0,5678,Saturday,Morning,Morning,85
Jet Airways,Banglore,New Delhi,1,9134,Saturday,Before Dawn,Morning,1590
Multiple carriers,Delhi,Cochin,1,10791,Monday,Noon,Evening,440
Jet Airways,Delhi,Cochin,2,12819,Monday,Midnight,Noon,810
IndiGo,Delhi,Cochin,1,6893,Thursday,Before Dawn,Noon,300
Vistara,Banglore,New Delhi,0,7240,Saturday,Morning,Noon,165
GoAir,Banglore,Delhi,0,3898,Wednesday,Noon,Afternoon,170
IndiGo,Mumbai,Hyderabad,0,4049,Wednesday,Morning,Morning,90
Jet Airways,Delhi,Cochin,1,10262,Saturday,Afternoon,Noon,1145
SpiceJet,Chennai,Kolkata,0,3332,Thursday,Morning,Noon,135
Jet Airways,Kolkata,Banglore,1,10844,Sunday,Evening,Noon,890
Jet Airways,Banglore,New Delhi,0,7229,Sunday,Evening,Midnight,160
Jet Airways,Kolkata,Banglore,1,13941,Monday,Morning,Before Dawn,1330
IndiGo,Delhi,Cochin,1,5894,Thursday,Noon,Evening,575
Multiple carriers,Delhi,Cochin,1,10197,Saturday,Morning,Evening,600
Jet Airways,Banglore,New Delhi,1,13712,Wednesday,Afternoon,Noon,1280
IndiGo,Delhi,Cochin,1,5636,Monday,Before Dawn,Morning,325
Jet Airways,Delhi,Cochin,2,13014,Thursday,Morning,Before Dawn,1125
Jet Airways,Kolkata,Banglore,1,7064,Monday,Morning,Evening,740
Jet Airways,Kolkata,Banglore,1,10703,Friday,Evening,Afternoon,1080
Multiple carriers,Delhi,Cochin,1,9646,Monday,Noon,Midnight,555
Multiple carriers,Delhi,Cochin,1,17057,Wednesday,Before Dawn,Noon,665
Jet Airways,Banglore,New Delhi,1,13817,Tuesday,Afternoon,Noon,1050
Air India,Delhi,Cochin,2,13748,Wednesday,Before Dawn,Evening,800
Air India,Kolkata,Banglore,0,4880,Sunday,Evening,Midnight,155
IndiGo,Chennai,Kolkata,0,3540,Friday,Before Dawn,Morning,145
SpiceJet,Banglore,Delhi,0,3257,Wednesday,Before Dawn,Morning,160
Jet Airways,Banglore,Delhi,0,6478,Monday,Evening,Midnight,180
Jet Airways,Mumbai,Hyderabad,0,8040,Tuesday,Morning,Morning,85
Jet Airways,Delhi,Cochin,2,14300,Wednesday,Evening,Noon,995
Jet Airways,Kolkata,Banglore,1,14781,Wednesday,Morning,Evening,740
Jet Airways,Kolkata,Banglore,1,14939,Sunday,Evening,Morning,735
Jet Airways,Delhi,Cochin,1,10262,Monday,Evening,Before Dawn,450
Air India,Kolkata,Banglore,1,6528,Sunday,Afternoon,Afternoon,1440
Air India,Banglore,Delhi,0,6121,Wednesday,Morning,Morning,165
Jet Airways,Delhi,Cochin,2,13029,Saturday,Evening,Before Dawn,535
Multiple carriers,Delhi,Cochin,1,11421,Wednesday,Noon,Evening,430
Multiple carriers,Delhi,Cochin,1,7574,Wednesday,Before Dawn,Evening,870
Air India,Delhi,Cochin,2,11596,Thursday,Noon,Evening,1820
Jet Airways,Delhi,Cochin,2,15129,Friday,Midnight,Evening,1195
Jet Airways,Banglore,New Delhi,1,13555,Monday,Afternoon,Before Dawn,900
IndiGo,Banglore,Delhi,0,5780,Friday,Evening,Evening,175
Vistara,Kolkata,Banglore,1,9397,Sunday,Evening,Morning,765
Jet Airways,Delhi,Cochin,1,17024,Wednesday,Evening,Before Dawn,610
GoAir,Delhi,Cochin,1,5281,Thursday,Morning,Noon,355
Multiple carriers,Delhi,Cochin,1,10348,Saturday,Morning,Midnight,925
Air India,Delhi,Cochin,1,12677,Wednesday,Afternoon,Morning,965
Multiple carriers,Delhi,Cochin,1,15147,Sunday,Afternoon,Midnight,610
Vistara,Banglore,Delhi,0,4668,Wednesday,Morning,Morning,160
Jet Airways,Delhi,Cochin,1,15554,Thursday,Morning,Evening,715
SpiceJet,Banglore,Delhi,0,3971,Tuesday,Before Dawn,Morning,160
Air India,Mumbai,Hyderabad,0,3100,Friday,Afternoon,Afternoon,85
Jet Airways,Kolkata,Banglore,1,9663,Monday,Evening,Noon,845
Air India,Delhi,Cochin,1,27430,Friday,Midnight,Evening,1215
IndiGo,Chennai,Kolkata,0,3540,Sunday,Before Dawn,Morning,145
Air India,Kolkata,Banglore,2,10676,Tuesday,Noon,Noon,1390
Jet Airways,Kolkata,Banglore,1,13044,Wednesday,Afternoon,Morning,1090
Jet Airways,Kolkata,Banglore,1,14388,Monday,Evening,Noon,960
IndiGo,Banglore,Delhi,0,3943,Monday,Before Dawn,Morning,170
IndiGo,Chennai,Kolkata,0,3597,Monday,Afternoon,Afternoon,140
Air India,Banglore,New Delhi,1,5932,Thursday,Noon,Evening,480
Jet Airways,Delhi,Cochin,1,10262,Saturday,Noon,Before Dawn,1015
Vistara,Delhi,Cochin,0,6216,Sunday,Afternoon,Afternoon,190
IndiGo,Kolkata,Banglore,0,4804,Saturday,Evening,Midnight,165
Multiple carriers,Delhi,Cochin,1,14067,Tuesday,Noon,Midnight,840
Jet Airways,Delhi,Cochin,2,15129,Saturday,Evening,Evening,1430
Jet Airways,Delhi,Cochin,2,13376,Thursday,Morning,Before Dawn,1300
Air India,Delhi,Cochin,2,10441,Thursday,Evening,Evening,1275
Jet Airways,Banglore,Delhi,0,4030,Friday,Morning,Morning,165
Jet Airways,Delhi,Cochin,1,17024,Sunday,Morning,Evening,650
Multiple carriers,Delhi,Cochin,1,13017,Tuesday,Afternoon,Midnight,480
GoAir,Kolkata,Banglore,1,6686,Thursday,Midnight,Morning,495
IndiGo,Delhi,Cochin,1,5636,Saturday,Before Dawn,Morning,325
IndiGo,Delhi,Cochin,1,6442,Sunday,Morning,Afternoon,515
Multiple carriers,Delhi,Cochin,1,9486,Tuesday,Noon,Midnight,710
Jet Airways,Kolkata,Banglore,1,10844,Tuesday,Evening,Midnight,1655
Jet Airways,Delhi,Cochin,2,15318,Monday,Evening,Before Dawn,505
Air India,Delhi,Cochin,1,5117,Wednesday,Noon,Morning,1255
IndiGo,Delhi,Cochin,1,6147,Monday,Afternoon,Evening,290
Multiple carriers,Delhi,Cochin,1,7005,Sunday,Noon,Evening,490
SpiceJet,Kolkata,Banglore,0,3873,Wednesday,Midnight,Midnight,140
Jet Airways,Delhi,Cochin,2,9270,Thursday,Evening,Evening,1465
GoAir,Banglore,Delhi,0,3898,Thursday,Noon,Afternoon,170
Jet Airways,Kolkata,Banglore,1,14781,Sunday,Morning,Evening,740
Jet Airways,Kolkata,Banglore,1,8586,Friday,Evening,Morning,735
Air India,Kolkata,Banglore,2,10697,Thursday,Morning,Morning,1415
Jet Airways,Delhi,Cochin,2,14300,Thursday,Evening,Noon,995
IndiGo,Banglore,New Delhi,0,8855,Sunday,Evening,Evening,170
Jet Airways,Kolkata,Banglore,1,10844,Sunday,Afternoon,Evening,1545
Jet Airways,Delhi,Cochin,1,17024,Wednesday,Before Dawn,Before Dawn,1570
Jet Airways,Kolkata,Banglore,1,9314,Wednesday,Morning,Afternoon,1730
IndiGo,Banglore,New Delhi,0,4777,Sunday,Midnight,Before Dawn,165
Air India,Kolkata,Banglore,1,7662,Sunday,Noon,Noon,1515
IndiGo,Delhi,Cochin,1,6442,Thursday,Morning,Afternoon,560
SpiceJet,Delhi,Cochin,1,5264,Wednesday,Morning,Noon,270
Jet Airways,Delhi,Cochin,1,12898,Monday,Noon,Before Dawn,925
Air India,Mumbai,Hyderabad,0,6092,Sunday,Noon,Afternoon,90
SpiceJet,Banglore,Delhi,0,3311,Tuesday,Before Dawn,Morning,160
Jet Airways,Delhi,Cochin,1,6540,Wednesday,Evening,Before Dawn,550
IndiGo,Banglore,Delhi,0,3419,Monday,Midnight,Before Dawn,165
